antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({0, 1397})","frozenset({502, 495})",0.96968,0.5841,0.56644,0.5841514726507715,1.0000881230110794,4.9912000000151835e-05,1.0001237774030358
"frozenset({0, 502})","frozenset({1397, 495})",0.797,0.71756,0.56644,0.7107151819322459,0.9904609815656474,-0.00545531999999993,0.9763388272033311
"frozenset({0, 495})","frozenset({1397, 502})",0.73918,0.7715,0.56644,0.7663086122460024,0.9932710463331205,-0.00383736999999984,0.9777852842422143
"frozenset({1397, 502})","frozenset({0, 495})",0.7715,0.73918,0.56644,0.7342060920285159,0.9932710463331205,-0.00383736999999984,0.9812865990441826
"frozenset({1397, 495})","frozenset({0, 502})",0.71756,0.797,0.56644,0.7893974023078211,0.9904609815656474,-0.00545531999999993,0.9639007411328749
"frozenset({502, 495})","frozenset({0, 1397})",0.5841,0.96968,0.56644,0.9697654511213835,1.0000881230110794,4.9912000000151835e-05,1.0028262740656901
frozenset({0}),"frozenset({1397, 502, 495})",1.0,0.56644,0.56644,0.56644,1.0,0.0,1.0
frozenset({1397}),"frozenset({0, 502, 495})",0.96968,0.5841,0.56644,0.5841514726507715,1.0000881230110794,4.9912000000151835e-05,1.0001237774030358
frozenset({502}),"frozenset({0, 1397, 495})",0.797,0.71756,0.56644,0.7107151819322459,0.9904609815656474,-0.00545531999999993,0.9763388272033311
frozenset({495}),"frozenset({0, 1397, 502})",0.73918,0.7715,0.56644,0.7663086122460024,0.9932710463331205,-0.00383736999999984,0.9777852842422143
"frozenset({512, 0})",frozenset({495}),0.75308,0.73918,0.5769,0.7660540712806077,1.0363565995841442,0.02023832560000005,1.1148730026109663
"frozenset({512, 495})",frozenset({0}),0.5769,1.0,0.5769,1.0,1.0,0.0,inf
"frozenset({0, 495})",frozenset({512}),0.73918,0.75308,0.5769,0.7804594280148273,1.0363565995841442,0.02023832560000005,1.1247123835346318
frozenset({512}),"frozenset({0, 495})",0.75308,0.73918,0.5769,0.7660540712806077,1.0363565995841442,0.02023832560000005,1.1148730026109663
frozenset({0}),"frozenset({512, 495})",1.0,0.5769,0.5769,0.5769,1.0,0.0,1.0
frozenset({495}),"frozenset({512, 0})",0.73918,0.75308,0.5769,0.7804594280148273,1.0363565995841442,0.02023832560000005,1.1247123835346318
"frozenset({512, 1397})",frozenset({495}),0.72968,0.73918,0.55896,0.7660344260497752,1.0363300225246561,0.01959513760000009,1.1147793908153703
"frozenset({512, 495})",frozenset({1397}),0.5769,0.96968,0.55896,0.9689027561102445,0.9991984532116208,-0.00044839199999990864,0.9750060200668915
"frozenset({1397, 495})",frozenset({512}),0.71756,0.75308,0.55896,0.7789731869111991,1.0343830494916864,0.01857991520000002,1.1171495283732664
frozenset({512}),"frozenset({1397, 495})",0.75308,0.71756,0.55896,0.7422319009932544,1.0343830494916864,0.01857991520000002,1.09571355450237
frozenset({1397}),"frozenset({512, 495})",0.96968,0.5769,0.55896,0.5764375876577841,0.9991984532116209,-0.00044839199999990864,0.9989082781456956
frozenset({495}),"frozenset({512, 1397})",0.73918,0.72968,0.55896,0.7561892908357911,1.0363300225246561,0.01959513760000009,1.1087289845744095
"frozenset({512, 502})",frozenset({495}),0.58932,0.73918,0.4465,0.7576528880743909,1.0249910550534254,0.010886442400000085,1.0762249152779728
"frozenset({512, 495})",frozenset({502}),0.5769,0.797,0.4465,0.7739642919050096,0.9710969785508275,-0.013289300000000004,0.8980881901840492
"frozenset({502, 495})",frozenset({512}),0.5841,0.75308,0.4465,0.7644239000171205,1.0150633399069429,0.0066259720000000355,1.0481538662790704
frozenset({512}),"frozenset({502, 495})",0.75308,0.5841,0.4465,0.5928984968396452,1.0150633399069429,0.0066259720000000355,1.0216125383260488
frozenset({502}),"frozenset({512, 495})",0.797,0.5769,0.4465,0.5602258469259723,0.9710969785508274,-0.013289300000000004,0.9620847360912981
